Zip,Median,Mean,Pop
1440,51232.0665,61724.619,20904
1450,123278.3236,142339.3396,9547
1451,141274,170088,4922
1452,82443,89101,3901
1453,57280.2054,69263.8431,41066
1460,103750.5366,114887.8915,8147
1462,84910.6252,92794.6656,9475
1463,85403.1701,96368.4528,11120
1464,72598,76269,6374
1467,141274,170088,328
1468,66138,70269,3134
1469,78501.832,85144.864,6892
1473,79073,86554,6906
1474,78207.118,84939.286,2302
1475,56274.404,66417.8574,9597
1501,70682.8636,81297.9763,15923
1503,92917,109928,2517
1504,74067.1525,80878.8235,8824
1505,88214,128553,4083
1506,60189,69508,3056
1507,86561.1616,92647.6834,11274
1510,57957.1993,69165.2627,13261
1515,71964,82820,2095
1516,86214.162,92230.9775,7089
1518,72982.5526,87918.4146,2303
1519,105605.1052,119126.7852,6128
1520,92165.7024,103496.3398,12543
1521,65917,76367,2408
1522,82165.117,97638.5989,3083
1523,80938,104486,7102
1524,74315.9588,85319.0172,6356
1525,89583,96920,88
1527,68319.357,76893.5696,12850
1529,77250,89180,2715
1531,61250,76417,942
1532,103270.8247,125633.0853,14028
1534,76675.3135,88045.6089,4527
1535,57196,70880,4703
1536,89347.4537,101686.1969,5977
1537,68664,77943,2219
1540,62079.2575,72326.36,10958
1541,102853,114762,3341
1542,67171.6631,77659.6544,2025
1543,81295,88574,6332
1545,88643.2386,101693.0272,31637
1550,48194.9227,55175.6249,17217
1560,68854,94984,2754
1561,80938,104486,236
1562,65184.0108,71987.7934,11681
1564,102115,118110,7267
1566,72387.0577,87792.2067,5531
1568,107950,121356,5650
1569,80536.3525,86326.1839,11080
1570,50141.802,57820.0406,16396
1571,64228.224,72673.961,10023
1581,101875.7052,123549.9698,17899
1583,79865.4027,91095.3921,6665
1585,60375.65,72570.85,4472
1588,67286.1367,80024.6072,8644
1590,104729.6872,116563.4224,8247
1602,61861.4355,78373.5995,21596
1603,37453.7399,46306.6874,14613
1604,47437.8818,59373.0001,33032
1605,41023.1055,54480.113,24799
1606,57646.182,70503.4246,19516
1607,47987.4506,59093.9002,8415
1608,26525.9635,39039.0792,3634
1609,44500.9287,62365.1107,20425
1610,21388.2312,28804.6781,15545
1611,63333,73699,2206
1612,100358.3831,104489.451,4363
1701,92017.7545,102935.7386,31114
1702,53080.7065,65995.3211,35990
1718,84559,121293,374
1719,102222,119845,4870
1720,110533.8897,131678.4116,19798
1721,91903.5675,114035.8587,14602
1730,107033.2001,125493.5782,12547
1731,77368.8502,96728.3032,2914
1740,125741,148232,4125
1741,155000,189989,4798
1742,119901.5425,183177.7134,17075
1745,114761,142894,331
1746,101901.3274,122803.2115,13866
1747,97227,102044,5815
1748,121181.7927,170522.4054,13318
1749,76499.9403,85689.4319,18081
1752,71835.2964,89002.0704,36273
1754,76227.9,82167.275,10414
1756,102625,117692,5257
1757,68565.0115,82206.1888,26877
1760,90673.0408,113932.8638,31763
1770,145250,190251,4245
1772,141458.5354,169609.2023,8435
1773,143771.0237,194811.4818,5143
1775,117440,129280,5902
1776,152789.0328,184218.1114,16826
1778,140651.7175,187265.2037,13191
1801,71804.8467,79381.1265,37213
1803,90658.68,102990.5176,22954
1810,113873.823,142022.4689,31228
1821,87744.5542,95087.9994,29306
1824,99032.4496,111953.0916,25234
1826,71731.4259,80688.3921,28728
1827,113594,120673,2847
1830,63387.7423,71759.0847,24320
1832,57958.5191,69231.723,21246
1833,97894.676,115435.155,7356
1834,84232,95694,6027
1835,76253.0769,86304.2848,13426
1840,18507.3074,28623.9373,4350
1841,34128.3168,42598.237,44474
1843,42587.2455,52579.125,23184
1844,66023.4135,75431.4944,43770
1845,99504.8894,123973.0878,27203
1850,54087.2861,58893.3535,15688
1851,51794.6336,61695.4556,29549
1852,55088.5131,62625.8116,32848
1854,44615.9361,54300.3613,26785
1860,75517,93951,6145
1862,86303.7899,90704.898,10097
1863,77457.7946,88612.2026,8558
1864,97574.0805,112661.739,13849
1867,103358.3159,120486.5826,23657
1876,83975.5004,95140.0412,28599
1879,92239.4313,106477.3656,11092
1880,89829.8993,99934.8069,24610
1886,123905.7375,142724.3545,20811
1887,97106.6347,108006.7445,21279
1890,128545.9522,176000.7545,20806
1901,18257.3864,33810.2618,1630
1902,38106.8009,49159.1986,45617
1904,69263.4022,77218.0721,17916
1905,42448.5342,51336.1046,23905
1906,69050.9628,84873.5661,26160
1907,90516.0387,120329.1741,14463
1913,73843.3937,90785.9855,16447
1915,71363.1901,90717.4642,39854
1921,143045,205695,7903
1922,91052,113098,3041
1923,76694.5487,97282.6264,25239
1929,76989,104199,3272
1930,63047.3122,78511.6732,30261
1938,82394.8097,98028.9357,12981
1940,90676.5961,114264.3015,11926
1944,105000,148622,5234
1945,95941.7799,139641.266,20370
1949,87728,106394,7748
1950,76313.159,102336.5576,17249
1951,91052,113098,3622
1952,62923.6904,77418.6584,7819
1960,67118.618,78618.853,47991
1966,73675.5224,93989.8684,7762
1969,74911,97895,5504
1970,57312.6134,70551.5971,40268
1982,97491.2037,104573.2959,8299
1983,115015,133663,6132
1984,132697,181580,4451
1985,111739,140801,4160
2019,77420.441,84271.3498,15248
2021,88828.9506,112721.2538,20755
2025,114214,165670,7255
2026,85130.8405,103593.5491,23478
2030,164583,240515,5561
2032,77708,101593,3576
2035,94993.5158,108947.862,16163
2038,92041.7149,107379.0837,29553
2043,99909.5025,146972.4555,19867
2045,70039.001,89784.7923,11047
2047,75170,102029,247
2048,93593.3965,109080.2022,22393
2050,85394.9436,105523.9869,24577
2052,123175.7205,169008.3922,12254
2053,100949.9649,116761.1185,12503
2054,85472,95458,7892
2056,111766.9568,137648.6144,10608
2061,106730.3125,144569.4817,9785
2062,72935.3879,84346.8623,28563
2066,92394.2735,116245.3501,17349
2067,117828.3554,144690.9743,17425
2071,91780.98,107425.7648,956
2072,69340.2269,81996.8221,27342
2081,92953.5532,119374.7951,18430
2090,116083.1148,154504.0614,14150
2093,94523.5247,123596.3147,10446
2108,96032.571,149808.8668,3324
2109,92310.4891,129015.1387,3278
2110,102972.304,135092.848,1606
2111,31442.282,93529.082,4948
2113,60386.2692,84170.3619,6453
2114,69808.6282,110095.2282,11170
2115,30282.3323,54355.8504,25637
2116,80153.3184,136490.719,19480
2118,51368.0988,82359.6007,22527
2119,36316.2134,47418.508,23537
2120,28794.4254,41568.8959,11553
2121,28896.7808,42270.8166,24772
2122,45858.5007,59862.5944,24385
2124,43597.6257,56611.4975,51236
2125,44265.7044,57482.3406,32937
2126,51732.8681,59319.6428,27685
2127,64284.9367,80697.2226,29457
2128,42613.4595,55094.6957,38185
2129,80222.532,108708.73,15195
2130,69575.5357,90454.8317,34961
2131,62945.4052,73123.937,30491
2132,76801.5608,95567.0618,25943
2134,33862.7193,47915.2613,19641
2135,52714.2535,64682.2149,41833
2136,54410.3085,67054.3346,26418
2138,68126.9316,112347.9125,34994
2139,62821.1903,83355.7387,35273
2140,65282.7325,91656.0622,17158
2141,57908.9106,79407.7991,12010
2142,61141.2162,88668.6669,1823
2143,64966.1434,79417.1941,24864
2144,68003.5214,80579.3456,24248
2145,50718.0207,63041.4246,26833
2148,55890.4523,66741.0709,56273
2149,49695.7454,62187.2562,38109
2150,40344.1261,50098.1838,34956
2151,51723.3952,60339.8195,47323
2152,68218.3777,82769.3271,18303
2155,69802.7484,82586.0452,57291
2163,23429,39215,929
2169,56647.4918,69209.701,52278
2170,64308.8227,77390.3593,19203
2171,66807.6398,80719.1162,16610
2176,85681.1408,95603.8612,27173
2180,78103.0139,86636.6773,22116
2184,77128.9206,95668.0069,33731
2186,98712.0135,125635.9106,26112
2188,65251.0616,80495.0054,13828
2189,62490.562,73955.8207,14455
2190,74204.902,89585.1264,16780
2191,68143.1044,75926.3156,8916
2199,68080,149005,1004
2203,106602,135049,1
2210,61807.476,86291.043,413
2215,30726.3479,51217.5954,21896
2301,48469.7137,58673.6679,61459
2302,62408.1163,66148.953,32523
2322,67313,77494,4483
2324,80878.9384,87642.0032,22922
2330,70048.2261,77568.6003,11169
2332,116903.8897,149633.0848,14241
2333,82133.4644,89921.9223,13012
2339,104787.0664,118370.523,13171
2341,81912.4904,90514.8688,9550
2343,62560.2982,74251.3616,10705
2346,72466.3457,80698.1669,19926
2347,94495.1204,102487.451,9810
2351,75849.6439,83124.3088,14614
2356,99681.8336,123583.2116,12966
2357,101136,146319,323
2359,83622.3472,95279.8816,16907
2360,74602.7291,86752.7493,51563
2364,78922.8496,100027.428,11805
2366,89632,93117,126
2367,87917,98668,2622
2368,65118.3222,74837.4339,30999
2370,62854.96,74683.6385,17665
2375,78410.2933,93428.6493,9034
2379,73651.4978,88014.4548,6610
2382,77027.0185,83066.0963,13867
2420,139453.0998,181880.6742,14109
2421,126827.0604,167893.6708,16360
2445,105026.7247,160932.6966,21282
2446,67338.2449,105306.7125,24351
2451,78674.6831,95994.5921,17553
2452,67088.122,84728.4259,12642
2453,59067.1416,75079.6186,29043
2457,179792,273410,551
2458,90740.2383,123496.5304,12603
2459,128598.1374,176962.4662,18940
2460,107494.6391,140026.0028,8772
2461,110373.3533,149142.7646,6599
2462,134119.3984,208054.3552,1679
2464,81143.1426,111516.6145,2958
2465,110531.0514,158981.6009,11789
2466,115115.7805,167279.7704,7010
2467,130044.3463,220733.7449,15408
2468,166454.4604,240444.9382,5429
2472,74968.4829,89065.0114,32913
2474,82845.2407,100434.1637,25806
2476,83975.228,104444.8347,16533
2478,95268.7902,133543.484,24296
2481,173680.5234,243579.0843,14503
2482,123003.2632,185217.7069,11569
2492,118210.8511,168697.3148,20064
2493,147946.0554,277514.171,11526
2494,104492.1714,139639.0182,8885
2532,60257.3945,73419.9517,11275
2534,60788,74722,865
2535,68906,98197,1182
2536,61733.4514,75012.3323,19684
2537,86642.7936,98308.8161,5732
2538,54544.575,65411.6687,3528
2539,67625,93683,3771
2540,58667.1847,96887.5554,8794
2542,39803,51101,1588
2543,82354.988,136359.3715,845
2553,70197,80940,249
2554,61502.2346,92072.7631,6889
2556,67750,87409,3352
2557,59156,75430,3684
2558,51662,60627,1779
2559,62761.0673,76025.9146,3309
2561,68597,79039,481
2562,68960.0774,79286.4494,2881
2563,84184.4808,97816.8881,10346
2564,81944,158042,388
2568,516.2792,691.3804,31
2571,55499.9692,66213.572,10045
2575,68906,98197,2438
2576,62033.8098,70427.6795,3213
2584,81944,158042,4
2601,44219.0393,55017.162,15104
2630,71382.9568,104286.2224,1873
2631,58279.5566,76848.753,9796
2632,67464.0257,81139.7856,11376
2633,65870.5644,102921.9266,4282
2635,75166,104492,3412
2637,71516,104499,277
2638,56769.7084,75909.372,3700
2639,47355.9327,62216.4854,3363
2641,61013,80493,719
2642,59536.0125,74408.3225,5431
2643,62589,82230,45
2644,82198,86837,3876
2645,55137.0126,75250.9869,9578
2646,52699.7591,74549.4411,1947
2647,47353,56686,168
2648,71212.1022,91676.6114,7610
2649,62992.6344,80307.0914,12960
2650,64477,105609,979
2651,54464,69597,13
2652,80425,82651,1288
2653,57061.8665,76181.5884,6359
2655,72786.1714,103287.5311,3956
2657,44646,65485,3430
2659,67569,99647,1102
2660,52611.1039,66273.8595,6546
2663,66109,85199,130
2664,46673.3119,59893.111,9702
2666,80425,82651,790
2667,66117.7477,85192.9999,2614
2668,71946.9786,99934.7019,3274
2669,67569,99647,259
2670,36555,54887,1630
2671,55676.7091,85191.2399,1061
2672,51601.2201,62500.1122,249
2673,46414.1577,61552.431,8985
2675,63556.9262,80123.8466,6712
2702,91095,91631,3869
2703,67397.79,77812.7541,41916
2713,68906,98197,55
2715,83613.0284,90286.4084,2591
2717,75792.9846,83033.0876,4594
2718,81142.0082,82796.155,6406
2719,53936.2169,63866.4242,16150
2720,47793.5697,57117.031,31309
2721,32105.7162,42515.7549,26428
2723,30338.0856,38250.5347,16231
2724,30652.3629,40876.9581,17397
2725,65712,67216,2663
2726,68267.3825,76224.1451,15530
2738,101006,125277,5118
2739,74877,92712,6282
2740,38237.6214,47584.0835,43249
2743,70836.3638,76924.9166,10148
2744,31127.8812,48515.287,11667
2745,51951.1452,59327.926,23851
2746,24098.7753,35477.079,14861
2747,72292.0625,79915.4522,19451
2748,72885.2112,89831.5968,11531
2760,79273.9328,89441.4063,25526
2762,73645,82637,7678
2763,76721.9755,87166.0686,1782
2764,83621,90292,3623
2766,77953.1018,90783.9577,17869
2767,76337.6716,88695.8756,11839
2769,90530.2106,106149.2926,10179
2770,95022,97975,4397
2771,73960.7741,90915.5803,13507
2777,70244.9108,82589.9717,15945
2779,81125,90841,5748
2780,53795.9067,62457.3475,49469
2790,68366.675,83137.1022,14305
2791,72105,100424,302
2802,62982,77405,733
2804,71104,79440,2574
2806,105128.2382,131773.8395,16818
2807,75417,99379,1009
2808,73725.0529,87590.3187,2279
2809,65256.1752,80114.8295,22438
2812,72819,89720,1216
2813,69956.0475,87827.2765,7847
2814,79170.6582,84321.3462,7664
2815,78476,93391,257
2816,68135.4697,75981.891,31625
2817,81419,95881,5095
2818,90429.8176,117615.1711,18176
2822,98411.0096,105363.0944,5697
2825,73268.4063,95032.551,4922
2826,65948,78029,832
2827,79051.2672,88881.9056,2149
2828,78326.4133,92801.764,7396
2830,65422.5608,75289.1112,5806
2831,68687.3136,81386.4714,3487
2832,71453.4958,81507.353,4481
2833,71104,79440,708
2835,77813,107319,5617
2836,72819,89720,98
2837,94866,114713,3592
2838,62982,77405,3712
2839,65948,78029,1833
2840,58814.8705,77475.9021,25661
2841,53958,58483,840
2842,70800.5522,83980.437,17305
2852,76449.2147,96570.6116,23107
2857,74686.1495,86940.573,8462
2858,65948,78029,545
2859,70127.1771,77006.9363,6798
2860,35153.8719,44984.4939,46470
2861,53928.6246,61308.7627,26624
2863,33666.3002,40874.9869,18946
2864,73449.851,84791.675,31834
2865,75539.8702,94794.4716,16435
2871,59264.361,80284.5434,12418
2872,71705,94978,88
2873,71104,79440,161
2874,90020.2914,118608.6016,5081
2875,72819,89720,307
2876,80080.05,88709.425,80
2878,62529.5219,76644.7376,15257
2879,70847.8919,90447.0294,19172
2881,47075.0342,60168.2734,6387
2882,61144.1883,87364.8972,14807
2885,54317.2568,71228.1703,11386
2886,59954.2789,71362.6804,30234
2888,58509.1192,66679.9613,20650
2889,60121.8109,68713.7009,29615
2891,61399.4023,74554.3898,21338
2892,80221.5712,98074.2049,4846
2893,52341.7033,60429.8813,29518
2894,72539.455,88044.36,730
2895,40457.0485,48967.902,43198
2896,79212.9673,87184.1823,10549
2898,72767.7215,89412.628,1672
2903,26262.0179,51971.4293,9350
2904,44102.2996,57489.98,28539
2905,34502.6181,46204.8194,20393
2906,64563.3705,102753.1873,29878
2907,30215.7497,40139.531,27163
2908,40372.5963,52099.2111,38036
2909,33876.5263,45086.525,40945
2910,58286.9498,62428.6201,20959
2911,48686.8933,58607.2155,15508
2912,60938,124502,1016
2914,46275.4936,55013.8975,22316
2915,52780.0609,67882.4282,18127
2916,59302.2941,73541.2137,8220
2917,71030.0182,85287.0568,13288
2919,59407.8939,66483.6889,28253
2920,54380.0926,65388.7413,37423
2921,85747.8545,105690.2827,10608
3031,115543.7715,134503.3386,10879
3032,90082,98874,4674
3033,101722,105947,4185
3034,90985.8676,96055.6398,3961
3036,99970,114222,3785
3037,85573,93969,3638
3038,72374.1212,82126.1655,33893
3042,73405,87635,5479
3043,67541.3356,77720.8856,1500
3044,76929,80916,3491
3045,76696.0953,85933.2848,12705
3046,95682,112556,2226
3047,69136.034,80001.5205,1686
3048,63151.0264,70795.4058,3333
3049,112885,159945,7013
3051,77995.9577,88948.456,22952
3052,100051,102541,7331
3053,93464.5409,104875.6591,23364
3054,92954.4763,100327.9539,25094
3055,70617.3067,80757.1557,13437
3057,97233.6435,110768.9632,2091
3060,45861.1807,58716.9414,29540
3062,83501.2202,94152.4843,26234
3063,75893.6104,85915.5992,16175
3064,68656.7988,83759.646,14652
3070,86118.3883,108690.9653,4097
3071,72738.6272,85829.9199,4294
3076,93085.4394,103679.6162,10913
3077,61163.933,69250.8727,9669
3079,68840.6196,87526.0799,28011
3082,80299,77177,1519
3084,72806,85920,1270
3086,68089.9866,97907.3915,3775
3087,114204.3552,134056.1752,10705
3101,28275.4237,44233.881,2754
3102,50354.6582,60183.558,30331
3103,51018.107,59128.9913,36749
3104,61016.565,74121.1512,31954
3106,53663.374,67135.0784,7285
3109,67512.8293,73273.7647,9484
3110,117683.6538,146354.6299,18257
3215,49073,61071,256
3216,64522,73462,1985
3217,44153,63301,1924
3218,65727,70499,918
3220,56585.4505,60860.1416,6777
3221,67313.8417,79913.0153,1796
3222,47953.5669,57441.1219,5020
3223,44546.1584,58612.8336,2831
3224,78500,85675,1947
3225,65803.9392,70741.9856,2991
3226,1341.3833,1855.569,30
3227,51866,69455,963
3229,86083,112531,5387
3230,62943,70846,1138
3231,64522,73462,117
3233,66146,93832,154
3234,71685.562,76544.896,4026
3235,49138.4639,54173.428,8470
3237,64219,78346,1878
3238,44050,54023,61
3240,54297,60586,1138
3241,70144,97030,679
3242,73472,79535,4444
3243,62943,70846,991
3244,57425.6912,65980.8096,6950
3245,44153,63301,1937
3246,45867.0386,60387.536,16437
3249,60449.7598,85893.636,6763
3251,49073,61071,1269
3253,58931.2956,74304.9755,5890
3254,74161.5184,102346.4736,4478
3255,67396,80093,1738
3256,585.0126,694.5646,16
3257,66175.25,93510.5074,4053
3258,74808,84333,2221
3259,51866,69455,290
3260,67396,80093,628
3261,64816.107,77244.7895,3674
3262,44050,54023,1023
3263,57987.4975,64562.1875,3952
3264,43783.2827,55677.6129,6223
3266,51840.0654,69529.969,2072
3268,64522,73462,1031
3269,61702,74989,2586
3273,67396,80093,347
3275,58387.892,69107.908,11732
3276,55930.6465,60461.9209,7952
3278,63262.011,71038.2086,2897
3279,44050,54023,807
3280,52648,63213,895
3281,78480,88983,7775
3282,59259,66151,791
3284,81000,87997,736
3285,49073,61071,1823
3287,62943,70846,1076
3290,98477.267,105299.0495,3590
3291,98542,105353,51
3293,44050,54023,114
3301,52876.2441,72337.6676,31800
3303,57450.095,64969.6896,14137
3304,103269.7558,119135.5692,7136
3307,74569.521,93317.322,4497
3431,49287.673,64159.3519,24237
3440,61480.937,66225.3282,2487
3441,36932,48336,312
3442,67351,77729,1409
3443,79400,100196,695
3444,60369,74292,1473
3445,60369,74292,755
3446,52053,62433,5949
3447,67839,76203,2151
3448,55170,68978,802
3449,64231,93445,1738
3450,60369,74292,1065
3451,44533.2884,50538.6686,4118
3452,56637,71304,5477
3455,55913.184,65606.1162,2036
3456,55170,68978,749
3457,60369,74292,698
3458,70274.6855,86327.844,6274
3461,68250,78731,5444
3462,79400,100196,1607
3464,60369,74292,876
3465,55910.149,65535.6822,1969
3466,79400,100196,1259
3467,79400,100196,1722
3470,43641.9097,54385.9257,4840
3561,44787.0384,53311.5792,5864
3570,39342.0128,45739.7208,10270
3574,58082,67369,2201
3575,60741,70341,59
3576,36884.0979,47520.6972,3475
3579,41891.3352,44964.7836,372
3580,56505.3496,66182.1988,1193
3581,43217,61600,3271
3582,35740,41166,2715
3583,60741,70341,1005
3584,46888.8256,64494.3952,3512
3585,50406,61591,2414
3586,58082,67369,535
3588,52026,55843,1640
3590,35828.1001,42695.01,1236
3592,38616,46857,1146
3593,60741,70341,338
3595,60741,70341,600
3597,38549.5644,46725.5379,389
3598,48061,53959,2966
3601,58667,63858,398
3602,56041.4524,67702.096,2584
3603,49290.4765,54964.627,5027
3604,58112,62174,29
3605,52648,63213,971
3607,58667,63858,316
3608,58112,62174,2887
3609,58112,62174,672
3740,50092.4995,61154.2435,760
3741,60392.1383,64936.6582,3590
3743,42247.102,51372.347,13840
3745,77619,93315,1468
3746,77619,93315,194
3748,61495.5606,70303.436,4747
3750,110729,170957,951
3751,64611.189,77238.6205,308
3752,52648,63213,746
3753,81000,87997,2169
3754,45794,50574,19
3755,81606.9086,118008.5258,9900
3765,41575,49288,448
3766,59682.05,73873.4831,8867
3768,70144,97030,1679
3770,77619,93315,347
3771,50406,61591,738
3773,49851.7118,54854.3844,7502
3774,41575,49288,1936
3777,59259,66151,1089
3779,59259,66151,710
3780,41613.61,49361.866,449
3781,77619,93315,1892
3782,59775.3266,74054.1165,2823
3784,56651.864,73403.3525,3742
3785,42817.262,51207.72,2070
3801,63815.3444,80793.6412,21560
3809,57560,71765,2928
3810,57568.6567,71773.5553,1572
3811,87513.8644,105490.4012,6267
3812,46357,66711,897
3813,46707.6956,59877.555,2530
3814,44967,50007,2265
3816,52679,71728,1159
3817,51866,69455,462
3818,49732.528,63386.6375,3309
3819,78083,85681,4017
3820,59989.2882,73475.8758,26940
3823,72209,93556,1432
3824,60675.7901,89885.5149,12659
3825,74102,78995,7375
3826,82711.2602,96581.0617,2439
3827,87103.3723,110232.8436,2579
3830,46406,54838,1258
3832,55531.0712,71353.2328,381
3833,74805.7679,91970.8593,19202
3835,47975,59713,5778
3836,45728,56866,1286
3837,64219,78346,1173
3838,46357,66711,922
3839,55732.6195,64831.2125,3490
3840,75525.6022,109857.5622,3220
3841,83958.9874,99306.3106,6086
3842,72310.4847,83441.431,14818
3844,112417,148972,1879
3845,45924.104,65853.492,1000
3846,46357,66711,818
3847,40661,55428,302
3848,69792,78509,5863
3849,55543,71375,1295
3850,52679,71728,369
3851,58382,64122,3378
3852,58382,64122,534
3853,52679,71728,581
3854,67292,109947,1010
3855,60625,70704,2216
3856,79824,91594,1557
3857,70588.3473,85299.1803,8048
3858,87257,83256,4288
3860,40860.8303,55726.3833,3450
3861,72209,93556,4153
3862,75081,114862,4254
3864,44967,50007,1628
3865,76471,88998,7731
3867,51183.4634,63715.7106,20308
3868,53628.8396,60461.8508,4778
3869,66161,83345,2582
3870,85268,117242,5062
3871,85268,117242,119
3872,46406,54838,3200
3873,84362,98243,4942
3874,52645.0171,64486.882,8047
3875,55213.5408,71202.968,625
3878,52254.0939,61719.7709,11539
3882,45728,56866,1273
3883,51866,69455,179
3884,72303,91267,3585
3885,106572.094,122575.3692,6336
3886,51871.8832,69458.072,1854
3887,57597.7749,67326.1286,1827
3890,44967,50007,303
3894,55651.7612,72825.3747,6116
3901,61512.586,67714.208,6373
3902,72016.0848,86285.808,2083
3903,66854,89730,5952
3904,52799.1424,63631.3444,7636
3905,54047.596,64496.301,1902
3906,57711.1662,64638.524,4331
3907,57542.2232,71287.9934,1223
3908,75006.5544,80578.0664,6684
3909,61752.8842,77940.557,10093
3910,57101,74158,338
3911,57101,74158,341
4001,51227,62454,2138
4002,62908.2452,67672.3017,6280
4003,66055,75809,477
4005,49408.5249,57936.8745,22620
4006,61583,78343,124
4008,63192,68092,2498
4009,42420,50711,4815
4010,42439,55342,1248
4011,51061.5667,65065.1831,21168
4015,51655.5516,54365.8212,3501
4017,85168,120334,355
4019,58429,99366,87
4020,48269,52426,1269
4021,85168,120334,5589
4022,42439,55342,1003
4024,52059,58563,529
4027,56227,59965,5085
4029,52059,58563,1433
4030,60288,64959,1836
4032,60894.969,82042.903,7797
4037,37578.3768,47999.1861,3373
4038,70794.8334,82719.3558,14169
4039,67751.1541,75773.0248,6428
4040,42034.5624,59389.7679,2629
4041,40694,53327,1415
4042,57536,62297,4117
4043,73977.7727,90300.8137,10482
4046,60744.5756,77918.6916,7282
4047,48269,52426,1580
4048,50683.5106,54532.9098,2288
4049,56924.0863,62757.4779,3355
4050,58429,99366,200
4051,45086,59891,983
4055,52824,63915,3200
4056,51227,62454,209
4057,42420,50711,63
4061,60288,64959,2665
4062,57302.4351,68308.6303,14901
4063,31529,42364,399
4064,40589.4288,52076.5792,8455
4066,66055,75809,691
4068,40694,53327,1442
4069,65117,70252,1435
4071,63872.7282,74800.8664,4729
4072,42759.1088,46958.3408,12787
4073,43224.2964,51776.9962,16015
4074,77285.1653,95128.8561,16813
4076,51227,62454,2322
4079,63939.4794,74122.6558,4065
4083,44589.4691,51144.6388,4713
4084,70904.9814,73030.6466,7754
4085,55429,57086,1530
4086,63863.9915,75742.0175,9097
4087,60288,64959,1710
4088,45086,59891,1417
4090,63242.5528,72031.3412,9397
4091,52059,58563,759
4092,46303.3306,60730.2344,16124
